,Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
42,Grand Theft Auto V,PS4,2014.0,Action,3.96,6.31,0.38,1.97,97.0,8.3,M
43,Animal Crossing: Wild World,DS,2005.0,Simulation,2.5,3.45,5.33,0.86,86.0,8.7,E
44,Halo 3,X360,2007.0,Shooter,7.97,2.81,0.13,1.21,94.0,7.8,M
45,Super Mario 64,N64,1996.0,Platform,6.91,2.85,1.91,0.23,,,
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,4.34,2.71,3.96,0.76,,,
47,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,4.35,3.49,3.1,0.74,,,
48,Gran Turismo 4,PS2,2004.0,Racing,3.01,0.01,1.1,7.53,89.0,8.5,E
49,Super Mario Galaxy,Wii,2007.0,Platform,6.06,3.35,1.2,0.74,97.0,8.9,E
50,Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,6.16,2.04,2.69,0.29,,,
51,Grand Theft Auto IV,X360,2008.0,Action,6.76,3.07,0.14,1.03,98.0,7.9,M
52,Gran Turismo,PS,1997.0,Racing,4.02,3.87,2.54,0.52,96.0,8.7,E
53,Super Mario 3D Land,3DS,2011.0,Platform,4.89,3.0,2.14,0.78,90.0,8.4,E
54,Gran Turismo 5,PS3,2010.0,Racing,2.96,4.82,0.81,2.11,84.0,7.5,E
55,Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,4.99,3.64,0.38,1.6,94.0,6.3,M
56,Super Mario All-Stars,SNES,1993.0,Platform,5.99,2.15,2.12,0.29,,,
57,Grand Theft Auto IV,PS3,2008.0,Action,4.76,3.69,0.44,1.61,98.0,7.5,M
58,Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,4.34,2.65,3.15,0.35,,,
59,Super Mario 64,DS,2004.0,Platform,5.01,3.07,1.25,0.97,,,
60,Call of Duty: Ghosts,X360,2013.0,Shooter,6.73,2.56,0.04,0.91,73.0,2.6,M
61,Just Dance 3,Wii,2011.0,Misc,5.95,3.11,0.0,1.06,74.0,7.8,E10+
62,New Super Mario Bros. 2,3DS,2012.0,Platform,3.66,3.14,2.47,0.63,78.0,7.2,E
63,Mario Kart 64,N64,1996.0,Racing,5.55,1.94,2.23,0.15,,,
64,Halo: Reach,X360,2010.0,Shooter,7.04,1.95,0.08,0.79,91.0,7.9,M
65,Final Fantasy VII,PS,1997.0,Role-Playing,3.01,2.47,3.28,0.96,92.0,9.2,T
66,Halo 4,X360,2012.0,Shooter,6.65,2.28,0.04,0.74,87.0,7,M
67,Gran Turismo 2,PS,1999.0,Racing,3.88,3.42,1.69,0.5,93.0,9,T
68,Just Dance 2,Wii,2010.0,Misc,5.8,2.85,0.01,0.78,74.0,7.3,E10+
69,Call of Duty: Ghosts,PS3,2013.0,Shooter,4.1,3.63,0.38,1.25,71.0,2.6,M
70,Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,5.93,2.36,0.13,0.9,94.0,8.4,M
71,Donkey Kong Country,SNES,1994.0,Platform,4.36,1.71,3.0,0.23,,,
72,Minecraft,X360,2013.0,Misc,5.7,2.65,0.02,0.81,,,
73,Animal Crossing: New Leaf,3DS,2012.0,Simulation,2.03,2.36,4.39,0.39,88.0,8.7,E
74,Mario Party DS,DS,2007.0,Misc,4.4,1.85,1.98,0.68,72.0,7.8,E
75,The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,5.05,2.79,0.1,0.85,96.0,8.4,M
76,Super Mario Kart,SNES,1992.0,Racing,3.54,1.24,3.81,0.18,,,
77,FIFA 16,PS4,2015.0,Sports,1.12,6.12,0.06,1.28,82.0,4.3,E
78,Halo 2,XB,2004.0,Shooter,6.82,1.53,0.05,0.08,95.0,8.2,M
79,Wii Party,Wii,2010.0,Misc,1.75,3.47,2.49,0.67,68.0,7.4,E
80,Mario Party 8,Wii,2007.0,Misc,3.74,2.24,1.58,0.7,62.0,6.3,E
81,FIFA Soccer 13,PS3,2012.0,Action,1.06,5.01,0.13,1.97,88.0,6.6,E
82,GoldenEye 007,N64,1997.0,Shooter,5.8,2.01,0.13,0.15,,,
83,Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,2.79,1.72,3.14,0.41,,,
84,Final Fantasy X,PS2,2001.0,Role-Playing,2.91,2.07,2.73,0.33,92.0,8.7,T
85,The Sims 3,PC,2009.0,Simulation,0.99,6.42,0.0,0.6,86.0,7.6,T
86,Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,2.57,3.86,0.66,0.91,,,
87,Star Wars Battlefront (2015),PS4,2015.0,Shooter,2.99,3.49,0.22,1.28,,,
88,Final Fantasy VIII,PS,1999.0,Role-Playing,2.28,1.72,3.63,0.23,90.0,8.6,T
89,Pac-Man,2600,1982.0,Puzzle,7.28,0.45,0.0,0.08,,,
90,Pokémon Platinum Version,DS,2008.0,Role-Playing,2.76,1.72,2.69,0.54,83.0,8.5,E
91,Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,2.9,2.81,0.24,1.73,88.0,7.6,M
92,Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,2.81,3.48,0.14,1.23,83.0,5.7,M
93,The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,4.1,1.89,1.45,0.16,,,
94,FIFA 17,PS4,2016.0,Sports,0.66,5.75,0.08,1.11,85.0,5,E
95,Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,3.78,2.17,1.31,0.31,,,
96,Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,3.27,1.37,2.43,0.48,,,
97,Super Mario Galaxy 2,Wii,2010.0,Platform,3.56,2.35,0.98,0.62,97.0,9.1,E
98,Super Mario Bros. 2,NES,1988.0,Platform,5.39,1.18,0.7,0.19,,,
99,Call of Duty: Black Ops 3,XOne,2015.0,Shooter,4.59,2.11,0.01,0.68,,,
100,Call of Duty: World at War,X360,2008.0,Shooter,4.81,1.88,0.0,0.69,84.0,7.6,M
101,Battlefield 3,X360,2011.0,Shooter,4.46,2.11,0.06,0.69,84.0,7.4,M
102,Need for Speed Underground,PS2,2003.0,Racing,3.27,2.83,0.08,1.02,85.0,8.6,E
103,Just Dance,Wii,2009.0,Misc,3.48,2.99,0.0,0.73,49.0,8,E10+
104,Battlefield 3,PS3,2011.0,Shooter,2.85,2.89,0.35,1.08,85.0,7.5,M
105,Fallout 4,PS4,2015.0,Role-Playing,2.53,3.27,0.24,1.13,87.0,6.5,M
106,Tekken 3,PS,1998.0,Fighting,3.27,2.22,1.4,0.29,96.0,9.1,T
107,The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,3.74,2.14,0.6,0.68,95.0,9,T
108,Pokemon Sun/Moon,3DS,2016.0,Role-Playing,2.98,1.45,2.26,0.45,,,
109,Crash Bandicoot 3: Warped,PS,1998.0,Platform,3.68,1.75,1.42,0.28,91.0,8.9,E
110,Mario Kart 8,WiiU,2014.0,Racing,3.15,2.15,1.28,0.51,88.0,9.1,E
111,Super Smash Bros. Melee,GC,2001.0,Fighting,4.41,1.04,1.39,0.22,92.0,9.1,T
112,Mario Kart: Double Dash!!,GC,2003.0,Racing,4.12,1.77,0.87,0.19,,,
113,Need for Speed Underground 2,PS2,2004.0,Racing,2.71,3.02,0.08,1.09,82.0,8.6,E
114,Medal of Honor: Frontline,PS2,2002.0,Shooter,2.93,2.75,0.17,0.99,88.0,8.5,T
115,Crash Bandicoot,PS,1996.0,Platform,3.23,2.35,0.94,0.3,,,
116,Just Dance 4,Wii,2012.0,Misc,4.05,2.16,0.0,0.55,74.0,7.3,E10+
117,Gears of War 2,X360,2008.0,Shooter,4.15,1.9,0.06,0.64,93.0,7.7,M
118,Uncharted 3: Drake's Deception,PS3,2011.0,Action,2.77,2.75,0.19,1.03,92.0,8.3,T
119,Zumba Fitness,Wii,2010.0,Sports,3.45,2.59,0.0,0.66,,tbd,E
120,Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,3.11,2.26,0.28,1.03,94.0,8.4,M
121,Uncharted 2: Among Thieves,PS3,2009.0,Action,3.27,2.2,0.21,0.98,96.0,8.8,T
122,FIFA 12,PS3,2011.0,Sports,0.84,4.3,0.11,1.39,,,
123,Big Brain Academy,DS,2005.0,Misc,1.66,2.75,1.6,0.62,74.0,7.4,E
124,The Legend of Zelda,NES,1986.0,Action,3.74,0.93,1.69,0.14,,,
125,Red Dead Redemption,PS3,2010.0,Action,2.79,2.53,0.17,0.99,95.0,8.8,M
126,FIFA 14,PS3,2013.0,Sports,0.78,4.24,0.07,1.37,86.0,4.3,E
127,Assassin's Creed III,PS3,2012.0,Action,2.64,2.52,0.16,1.12,85.0,6.9,M
128,Donkey Kong Country Returns,Wii,2010.0,Platform,3.17,1.79,1.03,0.46,87.0,8.6,E
129,Halo: Combat Evolved,XB,2001.0,Shooter,4.98,1.3,0.08,0.07,97.0,8.6,M
130,The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,2.55,2.6,0.25,1.0,92.0,6.4,M
131,Pokémon Emerald Version,GBA,2004.0,Role-Playing,2.57,1.58,2.06,0.21,76.0,9,E
132,Kingdom Hearts,PS2,2002.0,Role-Playing,3.64,1.2,1.49,0.07,85.0,8.8,E
133,Pokémon Crystal Version,GB,2000.0,Role-Playing,2.55,1.56,1.29,0.99,,,
134,Halo 3: ODST,X360,2009.0,Shooter,4.34,1.34,0.06,0.61,83.0,7.1,M
135,Red Dead Redemption,X360,2010.0,Action,3.7,1.95,0.09,0.58,95.0,9,M
136,Super Mario Sunshine,GC,2002.0,Platform,4.01,1.26,0.87,0.17,92.0,8.6,E
137,Street Fighter II: The World Warrior,SNES,1992.0,Fighting,2.47,0.83,2.87,0.12,,,
138,World of Warcraft,PC,2004.0,Role-Playing,0.08,6.21,0.0,0.0,93.0,7.3,T
139,Driver,PS,1999.0,Action,3.11,2.8,0.02,0.33,87.0,8.1,T
140,Gears of War 3,X360,2011.0,Shooter,4.05,1.59,0.07,0.5,91.0,7.8,M
141,Kinect Sports,X360,2010.0,Sports,3.92,1.73,0.03,0.51,73.0,7.4,E10+
142,Gears of War,X360,2006.0,Shooter,3.54,1.88,0.07,0.6,94.0,8.3,M
143,FIFA 15,PS4,2014.0,Sports,0.8,4.33,0.05,0.9,82.0,5.7,E
144,Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,2.45,2.01,0.87,0.72,96.0,8.7,M
145,Sonic the Hedgehog 2,GEN,1992.0,Platform,4.47,1.2,0.16,0.19,,,
146,Metal Gear Solid,PS,1998.0,Action,3.18,1.83,0.78,0.24,94.0,9.4,M
147,Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,2.63,1.71,0.83,0.82,94.0,8.7,M
148,Final Fantasy XII,PS2,2006.0,Role-Playing,1.88,0.0,2.33,1.74,92.0,7.6,T
149,The Last of Us,PS3,2013.0,Action,2.41,2.18,0.28,0.99,95.0,9.1,M
150,LittleBigPlanet,PS3,2008.0,Platform,2.8,1.98,0.17,0.87,95.0,6.8,E
151,Resident Evil 2,PS,1998.0,Action,1.88,1.47,2.02,0.45,89.0,9.2,M
152,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,0.63,0.67,4.35,0.15,87.0,8.8,E10+
153,Tekken 2,PS,1996.0,Fighting,2.26,1.89,1.36,0.23,89.0,8.9,T
154,Destiny,PS4,2014.0,Shooter,2.49,2.07,0.16,0.92,76.0,6.1,T
155,LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,3.57,1.55,0.0,0.51,80.0,8.9,E10+
156,Cooking Mama,DS,2006.0,Simulation,3.07,1.91,0.07,0.57,67.0,7.2,E
157,Tetris,NES,1988.0,Puzzle,2.97,0.69,1.81,0.11,,,
158,Super Smash Bros.,N64,1999.0,Fighting,2.95,0.6,1.97,0.04,,,
159,Assassin's Creed II,PS3,2009.0,Action,2.54,1.93,0.21,0.86,91.0,8.6,M
160,Assassin's Creed,X360,2007.0,Adventure,3.28,1.64,0.07,0.56,81.0,7.7,M
161,Forza Motorsport 3,X360,2009.0,Racing,2.99,1.9,0.1,0.5,92.0,8,E
162,Super Mario Advance,GBA,2001.0,Platform,3.14,1.24,0.91,0.2,84.0,7.8,E
163,Monster Hunter Freedom Unite,PSP,2008.0,Role-Playing,0.47,0.55,4.13,0.34,81.0,8.7,T
164,Batman: Arkham City,PS3,2011.0,Action,2.71,1.85,0.11,0.81,96.0,8.6,T
165,Grand Theft Auto V,XOne,2014.0,Action,2.81,2.19,0.0,0.47,97.0,7.9,M
166,Mario Kart: Super Circuit,GBA,2001.0,Racing,2.62,1.64,0.99,0.23,93.0,8.3,E
167,Super Mario World,GBA,2001.0,Platform,3.21,1.11,0.95,0.2,,,
168,Pokemon Stadium,N64,1999.0,Strategy,3.18,1.24,0.94,0.09,,,
169,Crash Bandicoot: The Wrath of Cortex,PS2,2001.0,Platform,2.07,2.29,0.24,0.82,66.0,7.1,E
170,Call of Duty: World at War,PS3,2008.0,Shooter,2.73,1.83,0.0,0.83,85.0,7.6,M
171,Uncharted 4: A Thief's End,PS4,2016.0,Shooter,1.85,2.5,0.19,0.85,93.0,7.9,T
172,Dr. Mario,GB,1989.0,Puzzle,2.18,0.96,2.0,0.2,,,
173,Final Fantasy XIII,PS3,2009.0,Role-Playing,1.74,1.21,1.87,0.51,83.0,7.3,T
174,Pokemon Pinball,GB,1999.0,Misc,3.02,1.12,1.01,0.16,,,
175,Final Fantasy IX,PS,2000.0,Role-Playing,1.62,0.77,2.78,0.14,94.0,8.9,T
176,Assassin's Creed III,X360,2012.0,Action,3.13,1.69,0.03,0.44,84.0,6.7,M
177,Final Fantasy X-2,PS2,2003.0,Role-Playing,1.92,1.08,2.11,0.17,85.0,6.6,T
178,Donkey Kong 64,N64,1999.0,Platform,3.33,0.79,1.09,0.06,,,
179,Call of Duty: Advanced Warfare,XOne,2014.0,Shooter,3.22,1.55,0.01,0.48,81.0,5.4,M
180,Minecraft,PS3,2014.0,Misc,2.03,2.37,0.0,0.87,,,
181,Assassin's Creed II,X360,2009.0,Action,3.11,1.55,0.08,0.51,90.0,8.8,M
182,Tomb Raider II,PS,1997.0,Action,2.3,2.46,0.2,0.28,85.0,,T
183,Madden NFL 2004,PS2,,Sports,4.26,0.26,0.01,0.71,94.0,8.5,E
184,Tomodachi Life,3DS,2013.0,Simulation,0.97,2.11,1.9,0.24,,,
185,New Super Mario Bros. U,WiiU,2012.0,Platform,2.3,1.34,1.27,0.32,84.0,8.1,E
186,Dragon Quest VIII: Journey of the Cursed King,PS2,2004.0,Role-Playing,0.65,0.75,3.61,0.2,89.0,8.8,T
187,Super Mario Bros. 3,GBA,2003.0,Platform,2.93,1.25,0.83,0.2,,,
188,Professor Layton and the Curious Village,DS,2007.0,Puzzle,1.21,2.43,1.03,0.52,85.0,8.6,E
189,Super Mario Land 3: Wario Land,GB,1994.0,Platform,2.49,0.98,1.57,0.15,,,
190,FIFA Soccer 13,X360,2012.0,Action,1.09,3.47,0.03,0.57,90.0,6.1,E
191,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995.0,Platform,2.1,0.74,2.2,0.11,,,
192,Diablo III,PC,2012.0,Role-Playing,2.44,2.16,0.0,0.54,88.0,4,M
193,Medal of Honor: Rising Sun,PS2,2003.0,Shooter,1.98,2.23,0.13,0.8,68.0,7.6,T
194,Kirby's Dream Land,GB,1992.0,Platform,2.71,0.61,1.7,0.11,,,
195,Microsoft Flight Simulator,PC,1996.0,Simulation,3.22,1.69,0.0,0.2,,,
196,Guitar Hero II,PS2,2006.0,Misc,3.81,0.63,0.0,0.68,92.0,8.5,T
197,Fable III,X360,2010.0,Role-Playing,3.59,1.08,0.05,0.38,80.0,6.5,M
198,Mario & Sonic at the Olympic Games,DS,2008.0,Sports,1.63,2.45,0.44,0.57,,,
199,Resident Evil 5,PS3,2009.0,Action,1.96,1.41,1.08,0.64,84.0,7.5,M
200,The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,1.85,1.8,0.95,0.48,90.0,8,E
201,Super Mario Bros.,GB,1999.0,Platform,3.4,1.3,0.15,0.22,,,
202,FIFA Soccer 11,PS3,2010.0,Sports,0.61,3.28,0.06,1.12,89.0,8,E
203,Resident Evil,PS,1996.0,Action,2.05,1.16,1.11,0.73,91.0,9,M
204,Grand Theft Auto: Vice City Stories,PSP,2006.0,Action,1.7,1.99,0.16,1.18,86.0,8,M
205,Tony Hawk's Pro Skater,PS,1999.0,Sports,3.42,1.38,0.02,0.2,92.0,9.2,T
206,Warzone 2100,PS,1999.0,Strategy,2.79,1.89,0.0,0.33,,,
207,Spyro the Dragon,PS,1998.0,Platform,3.36,1.36,0.07,0.21,,,
208,Guitar Hero III: Legends of Rock,PS2,2007.0,Misc,3.49,0.01,0.01,1.48,82.0,8.2,T
209,Link's Crossbow Training,Wii,2007.0,Shooter,3.05,1.17,0.29,0.46,68.0,7.1,T
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007.0,Role-Playing,1.83,1.19,1.54,0.37,,,
211,Fallout 3,X360,2008.0,Role-Playing,3.4,0.99,0.09,0.45,93.0,8.5,M
212,Uncharted: Drake's Fortune,PS3,2007.0,Action,2.31,1.72,0.12,0.77,88.0,8.1,T
213,Madden NFL 06,PS2,2005.0,Sports,3.98,0.26,0.01,0.66,88.0,8,E
214,Diddy Kong Racing,N64,1997.0,Racing,2.91,0.99,0.89,0.1,,,
215,Monster Hunter Freedom 3,PSP,2010.0,Role-Playing,0.0,0.0,4.87,0.0,,,
216,Super Smash Bros. for Wii U and 3DS,WiiU,2014.0,Fighting,2.6,1.08,0.81,0.38,,,
217,Dr. Mario,NES,1990.0,Puzzle,2.62,0.6,1.52,0.1,,,
218,StarCraft II: Wings of Liberty,PC,2010.0,Strategy,2.57,1.68,0.0,0.58,93.0,8.2,T
219,Assassin's Creed,PS3,2007.0,Adventure,1.91,2.0,0.09,0.82,81.0,7.3,M
220,God of War III,PS3,2010.0,Action,2.74,1.33,0.12,0.61,92.0,8.7,M
221,Crash Team Racing,PS,1999.0,Racing,2.57,1.57,0.44,0.21,88.0,9,E
222,LEGO Star Wars: The Complete Saga,DS,2007.0,Action,2.83,1.48,0.0,0.45,80.0,5.4,E
223,Driver 2,PS,2000.0,Action,2.36,2.1,0.02,0.25,62.0,7.7,T
224,Batman: Arkham City,X360,2011.0,Action,2.99,1.27,0.04,0.42,94.0,8.7,T
225,The Last of Us,PS4,2014.0,Action,1.88,2.0,0.07,0.77,,,
226,The Simpsons: Hit & Run,PS2,2003.0,Racing,1.73,2.19,0.0,0.79,,,
227,Tony Hawk's Pro Skater 2,PS,2000.0,Sports,3.05,1.41,0.02,0.2,98.0,7.7,T
228,The Lord of the Rings: The Two Towers,PS2,2002.0,Action,1.94,1.95,0.08,0.7,82.0,8.2,T
229,Tomb Raider,PS,1996.0,Action,2.29,1.97,0.13,0.24,91.0,8.6,T
230,Animal Crossing: City Folk,Wii,2008.0,Simulation,1.82,1.12,1.32,0.36,73.0,7.6,E
231,Uncharted: The Nathan Drake Collection,PS4,2015.0,Action,2.07,1.71,0.08,0.76,86.0,8.1,T
232,The Legend of Zelda: A Link to the Past,SNES,1991.0,Action,2.42,0.91,1.15,0.13,,,
233,The Legend of Zelda: The Wind Waker,GC,2002.0,Action,2.6,0.99,0.89,0.13,96.0,8.9,E
234,Guitar Hero III: Legends of Rock,Wii,2007.0,Misc,3.04,1.11,0.0,0.43,86.0,8.4,T
235,Luigi's Mansion: Dark Moon,3DS,2013.0,Action,1.8,1.39,1.11,0.29,86.0,8.4,E
236,Forza Motorsport 4,X360,2011.0,Racing,2.08,1.97,0.06,0.46,91.0,8.2,E
237,Mario & Sonic at the Olympic Winter Games,Wii,2009.0,Sports,1.87,1.96,0.22,0.48,,,
238,Madden NFL 2005,PS2,2004.0,Sports,4.18,0.26,0.01,0.08,91.0,7.9,E
239,Guitar Hero III: Legends of Rock,X360,2007.0,Misc,3.19,0.91,0.01,0.42,85.0,7.9,T
240,Pitfall!,2600,1981.0,Platform,4.21,0.24,0.0,0.05,,,
241,Madden NFL 07,PS2,2006.0,Sports,3.63,0.24,0.01,0.61,84.0,8.2,E
242,Halo 5: Guardians,XOne,2015.0,Shooter,2.78,1.27,0.03,0.41,84.0,6.4,T
243,Spider-Man: The Movie,PS2,2002.0,Action,2.71,1.51,0.03,0.23,76.0,7.9,E
244,Dragon Quest VII: Warriors of Eden,PS,2000.0,Role-Playing,0.2,0.14,4.1,0.02,,,
245,Call of Duty: Infinite Warfare,PS4,2016.0,Shooter,1.61,2.0,0.15,0.71,77.0,3.4,M
246,God of War,PS2,2005.0,Action,2.71,1.29,0.02,0.43,94.0,8.9,M
247,Splatoon,WiiU,2015.0,Shooter,1.54,1.18,1.46,0.26,81.0,8.5,E10+
248,Nintendo Land,WiiU,2012.0,Misc,2.52,1.11,0.46,0.33,77.0,7.9,E10+
249,Tony Hawk's Pro Skater 3,PS2,2001.0,Sports,2.66,1.29,0.01,0.46,97.0,7.5,T
250,Winning Eleven: Pro Evolution Soccer 2007,PS2,2006.0,Sports,0.1,2.39,1.05,0.86,86.0,8.9,E
251,The Elder Scrolls IV: Oblivion,X360,2006.0,Role-Playing,2.82,1.03,0.13,0.4,94.0,8.7,M
252,Zelda II: The Adventure of Link,NES,1987.0,Adventure,2.19,0.5,1.61,0.08,,,
253,Need for Speed: Most Wanted,PS2,2005.0,Racing,2.03,1.79,0.08,0.47,82.0,9.1,T
254,Michael Jackson: The Experience,Wii,2010.0,Misc,2.64,1.33,0.01,0.39,56.0,8.3,E10+
255,Call of Duty: Advanced Warfare,PS3,2014.0,Shooter,1.56,1.93,0.19,0.68,,4.8,M
256,Resistance: Fall of Man,PS3,2006.0,Shooter,1.74,1.72,0.14,0.75,86.0,8.1,M
257,Sonic the Hedgehog,GEN,1991.0,Platform,3.03,0.91,0.26,0.13,,,
258,Kingdom Hearts II,PS2,2005.0,Role-Playing,2.2,0.58,1.38,0.17,87.0,9,E10+
259,The Legend of Zelda: Ocarina of Time,3DS,2011.0,Action,2.09,1.31,0.62,0.31,,,
260,Super Mario 3D World,WiiU,2013.0,Platform,2.11,1.16,0.73,0.32,93.0,9,E
261,Minecraft,PS4,2014.0,Misc,1.48,2.02,0.14,0.68,,,
262,Asteroids,2600,1980.0,Shooter,4.0,0.26,0.0,0.05,,,
263,Call of Duty: Advanced Warfare,X360,2014.0,Shooter,2.77,1.11,0.0,0.4,,4.9,M
264,FIFA 15,PS3,2014.0,Sports,0.58,3.02,0.04,0.64,,4.5,E
265,Fable II,X360,2008.0,Role-Playing,2.51,1.24,0.11,0.41,89.0,6.5,M
266,Namco Museum,GBA,2001.0,Misc,3.0,1.11,0.05,0.07,79.0,7.3,E
267,Batman: Arkham Asylum,PS3,2009.0,Action,2.24,1.31,0.07,0.61,91.0,8.9,T
268,Metal Gear Solid 3: Snake Eater,PS2,2004.0,Action,1.46,0.0,0.83,1.93,91.0,9.3,M
269,Assassin's Creed: Revelations,PS3,2011.0,Action,1.41,2.01,0.1,0.7,80.0,7.5,M
270,Fallout 4,XOne,2015.0,Role-Playing,2.51,1.32,0.01,0.38,88.0,6.2,M
